Root Url,Bug Id,Short Description,Sequence Actions,Số bước,Loại lỗi,Độ khó,Chú ý
https://bug-refinedev.vercel.app/,82,"In the Create BlogPost form, the Title field is disabled and cannot be edited. ","Login
Click Create
Fill Title",5,Lỗi tương tác và trạng thái phần tử,Medium,
https://bug-refinedev.vercel.app/,83,"In BlogPost Create, the Status field always resets to ""draft"" regardless of the selected option. (login with default values)","Login
Click Create
Click Status
Click Published",6,Lỗi kết quả chức năng hoặc dữ liệu hiển thị,Medium,
https://bug-refinedev.vercel.app/,84,"In Category Create, empty submissions pass validation (validation rules are missing) (login with default values)","Login 
Click Categories
Click Create
Click Save",6,Lỗi kết quả chức năng hoặc dữ liệu hiển thị,Medium,
https://bug-refinedev.vercel.app/,85,"In BlogPost Show, the Delete action does not show a confirmation dialog and deletes immediately.","Login 
Click Show
Click Delete",5,Lỗi tương tác và trạng thái phần tử,Medium,
https://bug-refinedev.vercel.app/,86,"In Category Edit, after saving, the page redirects to the BlogPost List instead of the Category List. (login with default values)","Login 
Click Categories
Click Edit
Fill Title 
Click Save 
",7,Lỗi điều hướng hoặc luồng thao tác,Medium,
https://bug-refinedev.vercel.app/,87,The Content column incorrectly shows the string length alongside the preview text on every row.,Login,3,Lỗi hiển thị giao diện,Easy,
https://bug-commerce.vercel.app/,88,"The Footer ""About"" link leads to a 404 page.","
Click About",1,"Lỗi sập, treo hoặc không khả dụng",Easy,
https://bug-commerce.vercel.app/,89,"The Footer ""FAQ"" link leads to a 404 page.","
Click FAQ",1,"Lỗi sập, treo hoặc không khả dụng",Easy,
https://bug-commerce.vercel.app/,90,"The Footer ""Contact"" link leads to a 404 page.",Click Contact,1,"Lỗi sập, treo hoặc không khả dụng",Easy,
https://bug-commerce.vercel.app/,91,Product name text overflows the container and overlaps the product image.,,1,Lỗi hiển thị giao diện,Easy,
https://bug-commerce.vercel.app/,92,"In product information details page, users cannot navigate product images using the gallery arrows.","Click Classic White T-Shirt
Click ->
Click <-",3,Lỗi tương tác và trạng thái phần tử,Easy,
https://bug-commerce.vercel.app/,93,"In product information details page, the price component shows € and “EUR” instead of USD on the product detail page.",Click Classic White T-Shirt,1,Lỗi kết quả chức năng hoặc dữ liệu hiển thị,Easy,
https://bug-commerce.vercel.app/,94,"Clicking “Proceed to Checkout” leads to a 404 page, preventing users from completing the purchase.","Click Classic White T-Shirt
Click Size S
Click Color White
Click Add to cart
Click +
Click Proceed to Checkout 
",6,"Lỗi sập, treo hoặc không khả dụng",Medium,
https://bug-commerce.vercel.app/,95,Clicking “Accessories” in the navbar leads to a 404 page.,Click “Accessories”,1,"Lỗi sập, treo hoặc không khả dụng",Easy,
https://bug-commerce.vercel.app/,96,"In product information details page, clicking any related product redirects to the homepage instead of its product detail page.","Click Classic White T-Shirt
Click Slim Fit Jeans
",2,Lỗi điều hướng hoặc luồng thao tác,Easy,
https://bug-commerce.vercel.app/,97,Clicking the Wool Beanie product causes a crash.,Click Wool Beanie,1,"Lỗi sập, treo hoặc không khả dụng",Easy,
https://bug-commerce.vercel.app/,98,Sorting products by “Trending” on the Apparel page causes a crash.,"Click Apparel 
Click Trending",2,"Lỗi sập, treo hoặc không khả dụng",Easy,
https://bug-commerce.vercel.app/,99,Price sorting (low to high) is reversed.,"Click All
Click Price sorting (low to high)",2,Lỗi kết quả chức năng hoặc dữ liệu hiển thị,Easy,
https://bug-commerce.vercel.app/,100,Price sorting (high to low) is reversed.,"Click All
Click Price sorting (high to low)",2,Lỗi kết quả chức năng hoặc dữ liệu hiển thị,Easy,
